순위,팀명,타율
1,LG,0.282
2,롯데,0.280
3,NC,0.266
4,삼성,0.260
5,키움,0.253
6,두산,0.253
7,KIA,0.242
8,KT,0.239
9,SSG,0.234
10,한화,0.230
