url
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250418&gameId=20250418HTOB0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250418&gameId=20250418LGSK0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250418&gameId=20250418LTSS0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250418&gameId=20250418KTWO0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250418&gameId=20250418NCHH0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250419&gameId=20250419HTOB0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250419&gameId=20250419LGSK0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250419&gameId=20250419LTSS0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250419&gameId=20250419KTWO0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250419&gameId=20250419NCHH0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250420&gameId=20250420HTOB0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250420&gameId=20250420LGSK0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250420&gameId=20250420LTSS0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250420&gameId=20250420KTWO0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250420&gameId=20250420NCHH0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250422&gameId=20250422NCLG0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250422&gameId=20250422HHLT0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250422&gameId=20250422HTSS0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250422&gameId=20250422SKKT0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250422&gameId=20250422OBWO0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250423&gameId=20250423NCLG0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250423&gameId=20250423HHLT0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250423&gameId=20250423HTSS0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250423&gameId=20250423SKKT0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250423&gameId=20250423OBWO0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250424&gameId=20250424NCLG0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250424&gameId=20250424HHLT0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250424&gameId=20250424HTSS0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250424&gameId=20250424SKKT0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250424&gameId=20250424OBWO0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250425&gameId=20250425LTOB0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250425&gameId=20250425WOSK0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250425&gameId=20250425NCSS0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250425&gameId=20250425LGHT0&section=START_PIT
https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250425&gameId=20250425KTHH0&section=START_PIT
